new_candidate_id,cluster_id,representative_candidate_id,n_members,RA_deg,Dec_deg,v_center_kms,channel_center,nch,Maj_pc,Min_pc,q_b_over_a,PA_astro_deg,joint_2dcg_score,cg2d_detection_score,cg2d_beam_fraction_deficit,cg2d_growth_score,cg2d_growth_locality_score,seed_lite_2dcg_score,representative_score,link_radius_arcsec,beam_geom_arcsec,member_candidate_ids,RA_mean_deg,Dec_mean_deg,v_mean_kms,v_std_kms,max_sep_to_rep_arcsec,median_sep_to_rep_arcsec,Maj_median_pc,Min_median_pc,q_median_b_over_a,PA_circular_mean_deg,joint_2dcg_score_max,cg2d_detection_score_max,cg2d_beam_fraction_deficit_max,bb86_relation_class,strict_status,loose_status,strict_matched_Seq,loose_matched_Seq,nearest_Seq,matched_Seq,strict_sep_arcsec,loose_sep_arcsec,strict_dv_kms,loose_dv_kms,crossmatch_status,reference_source,v5_keep,v5_reject_reason,v5_channel_start,v5_channel_stop_exclusive,v5_nch_slab,v5_vel_lo_kms,v5_vel_hi_kms,v5_inner_valid_fraction,v5_outer_valid_fraction,v5_bg_valid_fraction,v5_bg_signal_sn,v5_bg_success,v5_bg_n_fit,v5_2dcg_score,v5_2dcg_peak_sn,v5_2dcg_beam_fraction,v5_2dcg_r50_scale,v5_2dcg_r80_scale,v5_2dcg_break_scale,v5_core_median_deficit_sn,v5_nch_2dcg_contiguous,v5_support_channel_start,v5_support_channel_stop_exclusive,v5_support_channel_scores,v9_foreground_confusion_zone,v9_x_pix,v9_y_pix,v9_n_fit_pixels,v9_inner_valid_fraction,v9_outer_valid_fraction,v9_min_mask_distance_beams,v9_bic_bg_only,v9_bic_bg_plus_cavity,v9_delta_bic_cavity,v9_cavity_amp,v9_cavity_amp_err,v9_cavity_amp_sn,v9_chi2_bg_only,v9_chi2_bg_plus_cavity,v9_core_median_deficit_sn,v9_core_positive_fraction,v9_deficit_peak_r_ell,v9_deficit_peak_sn,v9_gradient_to_core_ratio,v9_growth_fraction_inside_ellipse,v9_tail_growth_after_ellipse,v9_pv_major_deficit_sn,v9_pv_minor_deficit_sn,v9_pv_best_deficit_sn,v9_final_score,v9_score,v9_keep,v9_reject_reason,v9_channel_start,v9_channel_stop_exclusive,v9_vel_lo_kms,v9_vel_hi_kms,v9_rank,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg,quality_class,visual_decision
18,33,72,4.0,11.093016540375544,41.39180825260956,-227.2277159859105,68.5,2.0,300.0,285.0,0.95,85.0,0.0413458082013282,0.5836799265923622,0.4818009887922396,0.3797848029010962,0.3871252141106749,22.539124204394763,8.75877192982456,24.0,24.11049458723757,"72,88,116,229",11.093022863964062,41.39281518825579,-225.165815087384,2.0619008985264884,7.500017711080532,3.50000825591338,300.0,285.0,0.95,63.70809565840591,0.0413458082013282,0.5836799265923622,0.4818009887922396,new_non_BB86,not_matched,not_matched,,,71,,66.56045016648355,66.56045016648355,19.8722840140895,19.8722840140895,new_candidate,table_fits,True,ok,68,70,2,-229.28961688443692,-225.16581508738403,1.0,1.0,1.0,94.86224635254204,True,296,0.994818164686516,375.0759554407947,4.333266015203499,0.6354929577464788,0.9874647887323944,0.8632394366197182,16.566241712179618,7,65,72,"0.884,0.806,0.817,0.994,0.823,0.773,0.750",False,1117.0000000000018,2087.0,1337,1.0,1.0,7.1853010216722,161499.68827938818,50218.25877080128,111281.42950858692,23.381881910602186,0.0700896787162024,333.5995019363252,161478.09372865688,50189.46603649287,27.283500851520813,1.0,0.0821326519832821,37.80991222855782,0.1559381084133371,0.8900170322842016,0.1099829677157983,11.852774230166553,-0.8983834116170787,11.852774230166553,0.9454408735891768,0.9454408735891768,True,ok,68,70,-229.28961688443695,-225.16581508738403,1,0.95,292.4038303442689,67151.54297048182,85.0,A,keep
6,10,26,3.0,11.125138666790564,41.35085662100794,-227.2277159859105,68.5,2.0,220.0,198.0,0.9,-45.0,0.1016495828510845,0.6453499114108159,0.613479178623932,0.5067050810514226,0.5067050810514226,15.867140059715425,9.06516290726817,24.0,24.11049458723757,"26,44,372",11.126437885668514,41.35145352503617,-231.3515177829635,3.367070067717391,7.615905187663544,4.949812129084623,264.0,211.2,0.8,-63.45875558298252,0.1016495828510845,0.6453499114108159,0.613479178623932,new_non_BB86,not_matched,not_matched,,,71,,178.2421520541088,178.2421520541088,19.8722840140895,19.8722840140895,new_candidate,table_fits,True,ok,68,70,2,-229.28961688443692,-225.16581508738403,1.0,1.0,1.0,96.37588675106042,True,158,0.9004151228971244,273.1876581065415,3.1058172726995035,0.7183098591549295,1.1530985915492955,0.5733802816901408,19.27963389244122,7,65,72,"0.782,0.784,0.822,0.900,0.912,0.958,0.858",False,1091.99999999999,2045.000000000001,679,1.0,1.0,5.779317556410294,103743.15811140236,42135.36826834414,61607.78984305824,24.755571421343703,0.0997314559237605,248.22230049732795,103723.59624801968,42109.285783833904,27.7172907479185,1.0,1.140861262358599e-12,36.44511013642423,0.217929551243867,0.8195986507449754,0.1804013492550246,8.504087806783431,10.888736607900436,10.888736607900436,0.93487131335549,0.93487131335549,True,ok,68,70,-229.28961688443695,-225.16581508738403,2,0.9,208.71032557111303,34211.94399759285,135.0,A,keep
129,130,265,2.0,10.755668923932278,41.02403299346727,-359.1893734916065,100.5,2.0,300.0,270.0,0.9,15.0,0.0130730918936205,0.4833611188410813,0.3548477705454163,0.2615706728077189,0.2913905547774377,15.630402711335286,6.9154135338345855,24.0,24.11049458723757,"265,343",10.75631318643446,41.02396314816065,-359.1893734916065,0.0,3.535538083148336,1.767769041574168,309.5,278.55,0.9,-2.5,0.0130730918936205,0.4833611188410813,0.3548477705454163,new_non_BB86,not_matched,not_matched,,,45,,96.67409038237672,96.67409038237672,4.889373491606477,4.889373491606477,new_candidate,table_fits,True,ok,100,102,2,-361.251274390133,-357.12747259308003,1.0,1.0,1.0,38.40600860608701,True,284,0.9058716450524288,261.3253218853803,6.602186418013915,0.7597183098591549,1.1738028169014083,0.9253521126760562,14.18267683926201,7,97,104,"0.817,0.817,0.860,0.894,0.906,0.773,0.717",False,1377.0000000000011,1708.000000000021,1263,1.0,1.0,7.288671010584817,101056.23702905916,52319.44330417328,48736.79372488587,14.971185460984383,0.0678103361882883,220.78028664264448,101034.8132936921,52290.87832368387,18.1700618068075,1.0,0.1197030773497501,22.522710592830844,0.2301595255900878,0.8063573042275203,0.1936426957724797,3.247309450105629,5.533494343940251,5.533494343940251,0.9137233095218588,0.9137233095218588,True,ok,100,102,-361.251274390133,-357.12747259308003,3,0.9,284.60498941515414,63617.25123519331,15.0,B,keep_for_visual_validation
138,139,282,2.0,10.238621381679517,41.25555525091632,-342.6941663033945,96.5,2.0,319.0,287.1,0.9,-40.0,0.0123528518565166,0.4843316625944191,0.3516617880544062,0.2544052556058624,0.2850841766115133,10.069360353275048,6.68859649122807,24.0,24.11049458723757,"282,358",10.238621381679517,41.25555525091632,-342.6941663033945,0.0,0.0,0.0,339.5,314.55,0.925,-15.0,0.0123528518565166,0.4843316625944191,0.3516617880544062,new_non_BB86,not_matched,not_matched,,,42,,374.4391003829887,374.4391003829887,61.00583369660546,61.00583369660546,new_candidate,table_fits,True,ok,96,98,2,-344.75606720192104,-340.632265404868,1.0,1.0,1.0,51.787130854887394,True,271,0.9392964130896296,303.79351602035337,6.564991001574399,0.7183098591549295,1.1116901408450703,0.9253521126760562,15.174338806082066,7,93,100,"0.734,0.768,0.929,0.962,0.927,0.828,0.719",False,1777.0000000000018,1947.0000000000127,1429,1.0,1.0,3.732180631952142,89643.20584516226,31863.82182163918,57779.38402352308,13.905159877924152,0.0578445214049029,240.3885370680161,89621.41165462846,31834.76290092746,18.41679366958005,1.0,9.7454245461675e-13,23.859394844654243,0.4798388454647254,0.8930268478046798,0.1069731521953201,5.08623510615919,4.816390912382108,5.08623510615919,0.9118822068326246,0.9118822068326246,True,ok,96,98,-344.75606720192104,-340.632265404868,4,0.9,302.6299720781139,71930.61225493897,140.0,B,keep_for_visual_validation
212,210,476,6.0,10.827809417271736,41.686054645874286,-202.4849052035925,62.5,2.0,319.0,287.1,0.9,-75.0,0.0053802629773834,0.4113985662111581,0.3168871131121166,0.1879169200328641,0.2196191802493364,10.997801084251629,5.032581453634085,24.0,24.11049458723757,"476,641,652,836,892,916",10.832342302071432,41.68924347949159,-198.36110340653948,2.8338117313935656,28.20067551930948,17.83722355838371,401.4,321.12,0.8,-82.14507012387172,0.0053802629773834,0.4113985662111581,0.3168871131121166,new_non_BB86,not_matched,not_matched,,,82,,83.9500163506158,83.9500163506158,24.01509479640751,24.01509479640751,new_candidate,table_fits,True,ok,62,64,2,-204.546806102119,-200.423004305066,1.0,1.0,1.0,84.91512875405624,True,332,0.7827806501835611,310.02681597648825,5.988462046761917,0.7804225352112675,1.4015492957746478,0.8011267605633803,15.487713574460832,7,59,66,"0.717,0.706,0.773,0.850,0.717,0.683,0.683",False,1322.14285714286,2388.999999999998,1437,1.0,1.0,7.1853010216722,213814.6315868707,154993.2320665537,58821.399520317005,13.90730498017194,0.0573387821188673,242.54622205510236,213792.82064821245,154964.15081500937,19.341299836650613,1.0,0.0845489802633055,24.55411150986296,0.2750962929613015,0.7422821027333008,0.2577178972666993,2.5724134781278813,5.193615690409767,5.193615690409767,0.9001374263735133,0.9001374263735133,True,ok,62,64,-204.546806102119,-200.423004305066,5,0.9,302.6299720781139,71930.61225493897,105.0,B,keep_for_visual_validation
23,19,42,1.0,10.355282770420954,41.2024742113697,-412.7987968532954,113.5,2.0,220.0,198.0,0.9,45.0,0.0673368824374537,0.5635177962396264,0.6195229662248694,0.439181441160406,0.439181441160406,8.954742385572194,8.708020050125311,24.0,24.11049458723757,42,10.355282770420954,41.2024742113697,-412.7987968532954,0.0,0.0,0.0,220.0,198.0,0.9,45.0,0.0673368824374537,0.5635177962396264,0.6195229662248694,new_non_BB86,not_matched,not_matched,,,42,,67.42033632003971,67.42033632003971,9.098796853295426,9.098796853295426,new_candidate,table_fits,True,ok,113,115,2,-414.860697751822,-410.736895954769,1.0,1.0,1.0,72.97479894934457,True,158,0.7393363117933966,164.1366256008864,2.3991043603487183,0.7183098591549295,1.4222535211267604,0.5733802816901408,10.14904990976445,7,110,117,"0.643,0.657,0.717,0.753,0.678,0.694,0.694",False,1687.0000000000043,1891.999999999994,679,1.0,1.0,2.8923921782596613,64011.639429499766,46920.48126092585,17091.158168573915,11.756454646689464,0.0899099582268471,130.75809263560507,63992.07756611709,46894.39877641562,15.50393543614662,1.0,0.1125072965153521,21.94710608382515,0.2599621786586986,0.7398860745503556,0.2601139254496444,6.593673084478627,2.0320773434422903,6.593673084478627,0.8978705644836191,0.8978705644836191,True,ok,113,115,-414.860697751822,-410.736895954769,6,0.9,208.71032557111303,34211.94399759285,45.0,B,keep_for_visual_validation
96,110,219,2.0,11.241804718269677,41.51369125786225,-165.3706890301155,53.5,2.0,300.0,285.0,0.95,-85.0,0.0160214837905842,0.4923759860288662,0.3836340595408298,0.2786382139246257,0.3044023747002861,21.33005623470726,7.4223057644110275,24.0,24.11049458723757,"219,292",11.242449718429356,41.513202031593146,-165.3706890301155,0.0,4.94975863156261,2.474879315781305,309.5,286.05,0.925,70.0,0.0160214837905842,0.4923759860288662,0.3836340595408298,new_non_BB86,not_matched,not_matched,,,91,,52.77521590262121,52.77521590262121,7.529310969884506,7.529310969884506,new_candidate,table_fits,True,ok,53,55,2,-167.43258992864202,-163.308788131589,1.0,1.0,1.0,65.85836497059069,True,296,0.8710547130774777,353.411177677057,5.337542259070404,0.7390140845070423,1.2359154929577465,0.8632394366197182,18.61417310058508,7,50,57,"0.717,0.717,0.739,0.860,0.895,0.806,0.692",False,1003.0000000000002,2212.999999999996,1337,1.0,1.0,6.56941807695744,208340.91426953365,111092.22494950358,97248.68932003008,24.166540987402133,0.077491941621393,311.8587621081172,208319.31971880235,111063.43221519518,25.407371114379792,1.0,0.1758052019029601,32.412764191718374,0.276682944315309,0.7846291288822463,0.2153708711177537,8.01255909703914,15.452915474615192,15.452915474615192,0.8950962974638432,0.8950962974638432,True,ok,53,55,-167.43258992864202,-163.308788131589,7,0.95,292.4038303442689,67151.54297048182,95.0,B,keep_for_visual_validation
147,150,307,5.0,10.755910197129175,41.07694991591135,-334.4465627092885,94.5,2.0,319.0,287.1,0.9,-65.0,0.0110692375139768,0.4740762037594299,0.3240764553270317,0.2506012067662738,0.2875007035482179,10.235322585407689,6.451754385964913,24.0,24.11049458723757,"307,328,496,530,1205",10.7536245685963,41.07597905578118,-334.4465627092885,3.085970691107004,19.00658258519243,5.700889525169664,360.0,342.0,0.95,-76.98001456340235,0.0110692375139768,0.4740762037594299,0.3240764553270317,new_non_BB86,not_matched,not_matched,,,45,,94.17730381641223,94.17730381641223,19.853437290711497,19.853437290711497,new_candidate,table_fits,True,ok,95,97,2,-340.632265404868,-336.508463607815,1.0,1.0,1.0,45.23500241386376,True,327,0.8838776098048583,300.3577537608073,7.420485579683245,0.7804225352112675,1.2152112676056337,1.008169014084507,16.201303633164365,7,92,99,"0.862,0.851,0.895,0.862,0.895,0.873,0.895",False,1376.8571428571463,1762.428571428591,1430,1.0,1.0,7.1853010216722,159502.37284479348,94558.54101325686,64943.83183153662,15.548730066924106,0.0610100917249303,254.85505147291056,159480.57655562373,94529.47929436385,20.678921833158583,1.0,0.125566903209077,24.22852455558121,0.3492014590176134,0.7899873123718096,0.2100126876281903,9.894561289906887,8.01675800187228,9.894561289906887,0.8929714615827952,0.8929714615827952,True,ok,95,97,-340.632265404868,-336.508463607815,8,0.9,302.6299720781139,71930.61225493897,115.0,B,keep_for_visual_validation
87,99,198,3.0,10.72088636169209,41.04543822097156,-367.4369770857125,102.5,2.0,300.0,285.0,0.95,75.0,0.0181046607242832,0.5013976613427462,0.3864518458093808,0.2925116809084081,0.3194254293864659,15.868405772921728,7.536967418546366,24.0,24.11049458723757,"198,224,259",10.721070692424496,41.045762236574056,-367.4369770857125,1.943978809976954,4.031155206914507,3.500000409331725,319.0,287.1,0.9,54.55330267543454,0.0181046607242832,0.5013976613427462,0.3864518458093808,new_non_BB86,not_matched,not_matched,,,43,,53.21259468117518,53.21259468117518,19.863022914287512,19.863022914287512,new_candidate,table_fits,True,ok,102,104,2,-369.498877984239,-365.375076187186,1.0,1.0,1.0,40.414531739398825,True,281,0.8832051492810444,242.9945033875526,6.081450587860704,0.7390140845070423,1.2152112676056337,0.6769014084507041,12.744286781224924,7,99,106,"0.706,0.728,0.883,0.850,0.861,0.706,0.683",False,1404.0000000000014,1730.0000000000152,1335,1.0,1.0,7.1853010216722,145008.20074123712,90917.16890203633,54091.031839200805,15.161950783251251,0.0651873851307199,232.5902588797981,144986.61068152462,90888.38215575296,18.87862760285884,1.0,0.0783368562917052,23.072521655395917,0.2315756134136909,0.7573824657126857,0.2426175342873143,-0.4781235627775951,2.684505680486412,2.684505680486412,0.8915108331058258,0.8915108331058258,True,ok,102,104,-369.498877984239,-365.375076187186,9,0.95,292.4038303442689,67151.54297048182,75.0,C,inspect
312,316,904,2.0,10.705598683896874,41.61613914863975,-231.3515177829635,69.5,2.0,420.0,420.0,1.0,-90.0,0.001162950910652,0.3450568486223765,0.1997265479696696,0.1131352696324325,0.1491546919290649,33.12284907079482,2.317042606516291,24.0,24.11049458723757,"904,1102",10.70596972733193,41.61461127539674,-233.41341868149,2.0619008985265026,11.180533458147336,5.590266729073669,462.0,462.0,1.0,-90.0,0.001162950910652,0.3450568486223765,0.1997265479696696,new_non_BB86,not_matched,not_matched,,,72,,75.62144738898772,75.62144738898772,13.15151778296351,13.15151778296351,new_candidate,table_fits,True,ok,69,71,2,-233.41341868149,-229.28961688443692,1.0,1.0,1.0,69.90434766593182,True,640,0.850669747737976,535.6093400431121,12.21869430038068,0.7597183098591549,1.2773239436619717,0.9874647887323944,20.00903039148296,7,66,73,"0.683,0.683,0.728,0.784,0.906,0.929,0.840",False,1416.0000000000002,2316.999999999994,2749,1.0,1.0,6.467585528177292,573650.367058851,362249.18135463336,211401.1857042177,20.31622714871088,0.0441856467686399,459.7924582860247,573626.6100813865,362217.5053846807,26.04490683732513,1.0,0.2787676047805081,34.47417778168054,0.1643671060532309,0.7561048980455592,0.2438951019544407,7.705519934726453,11.39736767914829,11.39736767914829,0.8909835956332706,0.8909835956332706,True,ok,69,71,-233.41341868149,-229.28961688443695,10,1.0,420.0,138544.23602330987,90.0,B,keep_for_visual_validation
