Seq,bb86_Maj_pc,bb86_Min_pc,bb86_PA_astro_deg,bb86_v_center_kms,joint_Maj_pc,joint_Min_pc,joint_PA_astro_deg,joint_v_center_kms,joint_status,joint_pa_mode,joint_nch_used,joint_source_status,cg2d_Maj_pc,cg2d_Min_pc,cg2d_PA_astro_deg,cg2d_v_center_kms,cg2d_source_status,Maj_pc,Min_pc,PA_astro_deg,v_center_kms,geometry_source,axes_swapped_for_hist,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg
18,200.0,340.0,56.0,-490.3,340.0,200.0,76.0,-490.3,refit_recommended,pa-90,2,joint_contrast_refit,230.6197183098592,226.007323943662,,-490.3,CumulativeGrowth2D,230.6197183098592,226.007323943662,76.0,-490.3,CumulativeGrowth2D,False,0.9799999999999999,228.30187336912596,40936.32309754712,76.0
19,540.0,560.0,90.0,-469.7,560.0,540.000019285715,35.0,-469.7,refit_recommended,pa-90,2,joint_contrast_refit,225.7618309859155,221.2465943661972,,-469.7,CumulativeGrowth2D,225.7618309859155,221.2465943661972,35.0,-469.7,CumulativeGrowth2D,False,0.98,223.4928102725249,39229.88132912598,35.0
20,500.0,640.0,166.0,-457.3,640.0,500.0,-4.0,-457.3,refit_recommended,pa-90,2,joint_contrast_refit,721.4788732394367,707.0492957746479,,-457.3,CumulativeGrowth2D,721.4788732394367,707.0492957746479,-4.0,-457.3,CumulativeGrowth2D,False,0.98,714.2276452506093,400648.1980155092,176.0
21,80.0,160.0,0.0,-432.6,180.4364652758795,90.21823263793976,60.0,-432.6,refit_recommended,pa-90,2,joint_contrast_refit,160.0,80.0,,-432.6,CumulativeGrowth2D,160.0,80.0,60.0,-432.6,CumulativeGrowth2D,False,0.5,113.13708498984761,10053.096491487338,60.0
22,60.0,160.0,0.0,-539.8,170.45828853967348,104.38396768367868,40.0,-539.8,refit_recommended,pa-90,2,joint_contrast_refit,160.0,60.00000000000001,,-539.8,CumulativeGrowth2D,160.0,60.00000000000001,40.0,-539.8,CumulativeGrowth2D,False,0.37500000000000006,97.97958971132714,7539.822368615504,40.0
23,200.0,300.0,31.0,-445.0,432.1309395827638,288.08729305517585,1.0,-445.0,refit_recommended,pa-90,2,joint_contrast_refit,301.0140845070422,294.9938028169014,,-445.0,CumulativeGrowth2D,301.0140845070422,294.9938028169014,1.0,-445.0,CumulativeGrowth2D,False,0.9800000000000002,297.98874054262603,69741.2280802593,1.0
24,420.0,640.0,0.0,-560.4,581.3333333333333,381.4998807812872,5.0,-560.4,refit_recommended,pa-90,2,joint_contrast_refit,597.3464788732393,585.3995492957746,,-560.4,CumulativeGrowth2D,597.3464788732393,585.3995492957746,5.0,-560.4,CumulativeGrowth2D,False,0.9800000000000001,591.342844300844,274643.02452100476,5.0
25,280.0,460.0,0.0,-445.0,460.0,280.00002434782823,-20.0,-445.0,refit_recommended,pa-90,2,joint_contrast_refit,340.25915492957745,333.4539718309859,,-445.0,CumulativeGrowth2D,340.25915492957745,333.4539718309859,-20.0,-445.0,CumulativeGrowth2D,False,0.98,336.83937813611163,89111.87775488275,160.0
26,200.0,260.0,0.0,-552.1,253.7043288178309,195.15717601371608,25.0,-552.1,refit_recommended,pa-90,2,joint_contrast_refit,243.0422535211267,238.1814084507042,,-552.1,CumulativeGrowth2D,243.0422535211267,238.1814084507042,25.0,-552.1,CumulativeGrowth2D,False,0.9800000000000001,240.59955581150825,45465.24375249119,25.0
27,180.0,180.0,0.0,-424.3,197.7479753454189,197.7479753454189,0.0,-424.3,refit_recommended,pa-90,2,joint_contrast_refit,259.7323943661972,254.5377464788732,,-424.3,CumulativeGrowth2D,259.7323943661972,254.5377464788732,0.0,-424.3,CumulativeGrowth2D,False,0.9799999999999999,257.12195229021927,51924.00646280997,0.0
28,80.0,80.0,0.0,-440.8,109.90073819197669,109.90073819197669,0.0,-440.8,refit_recommended,pa-90,2,joint_contrast_refit,80.0,80.0,,-440.8,CumulativeGrowth2D,80.0,80.0,0.0,-440.8,CumulativeGrowth2D,False,1.0,80.0,5026.548245743669,0.0
