object_uid,tracer,source_catalog,display_label,candidate_id,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,v_center_kms,Maj_pc,Min_pc,PA_astro_deg,v9_final_score,v9_reject_reason,marker_size,validation_png,notes
Potential_new_HI_Candidate_0028,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0028,28,11.270787365146626,41.94718463094173,26.430665363578512,40.70607785650381,78.91878260869565,74.97284347826087,-15.0,-54.0280405096845,264.0,250.8,-15.0,0.1264478611137682,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,figures/potential_hi_candidates_v9/new_candidate_0128_v9_pv_diagnostic.png,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0126,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0126,126,11.656032968212443,42.18965555615812,43.804255759398565,55.25433336948751,95.36019565217391,85.82417608695653,45.0,-41.6566351185255,319.0,287.1,45.0,0.1263777713759539,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0317,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0317,317,11.124123338999407,41.96435764724966,19.816493272305358,41.73645883497997,125.55260869565218,125.55260869565218,-90.0,-115.8850674654795,420.0,420.0,-90.0,0.1262835381189227,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0158,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0158,158,11.296160066695794,41.63203328080812,27.574909244475773,21.796996848487566,89.6804347826087,89.6804347826087,-90.0,-111.76126566842647,300.0,300.0,-90.0,0.1259648484886465,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0161,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0161,161,11.504904352199356,42.187893126036094,36.988742095378946,55.14858756216583,95.36019565217391,85.82417608695653,65.0,-70.5232476978965,319.0,287.1,65.0,0.1250673627759763,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0060,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0060,60,11.30525286409238,42.03451581756034,27.984971127760804,45.94594905362058,89.6804347826087,85.19641304347826,-15.0,-70.5232476978965,300.0,285.0,-15.0,0.1250410725465534,foreground_confusion_velocity;low_v9_final_score,8.0,figures/potential_hi_candidates_v9/new_candidate_0260_v9_pv_diagnostic.png,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0267,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0267,267,11.1792059985458,41.88927022005636,22.300580195700938,37.2312132033818,114.4322347826087,102.98901130434784,45.0,-91.14225668316148,382.8,344.52000000000004,45.0,0.124785101448095,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0238,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0238,238,11.210083368207984,41.92316580605402,23.693070515491694,39.26494836324153,114.4322347826087,80.10256434782609,50.0,-91.14225668316148,382.8,267.96,50.0,0.1245000735800159,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0103,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0103,103,11.367783556500031,41.761919920978734,30.80494526481009,29.590195258724208,95.36019565217391,76.28815652173913,-45.0,-78.7708512920025,319.0,255.2,-45.0,0.1241680453523904,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
Potential_new_HI_Candidate_0120,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0120,120,11.3935616475719,41.73551407221338,31.96747117530642,28.00584433280278,89.6804347826087,85.19641304347826,-90.0,-91.14225668316148,300.0,285.0,-90.0,0.1237228041412571,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
