Seq,tracer,source_catalog,object_label,ra_deg,dec_deg,x_arcmin,y_arcmin,HRV,Maj,Min,PA,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,has_video,video_path,video_name,contrast_joint_refit_png,summary_2dcg_png
18,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0023,11.282791736209616,41.59321232099617,26.97203176503276,19.467739259770553,-181.86589621832752,264.0,211.2,0.0,401,139,139,CAP30_POSTPV_0023,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
19,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0024,10.856027495514017,41.1046225987849,7.726057107765149,-9.847644072905837,-317.9513555210765,360.0,360.0,-90.0,427,145,145,CAP30_POSTPV_0024,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
20,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0025,10.522540808962422,40.974217626150576,-7.3133386659921715,-17.67194243096526,-482.9034274031965,303.6,303.6,45.0,451,151,151,CAP30_POSTPV_0025,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
21,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0028,9.765478759763434,40.59256813660655,-41.454898861180894,-40.57091180360672,-507.64623818551456,414.0,414.0,65.0,545,169,169,CAP30_POSTPV_0028,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
22,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0029,10.389336698567812,41.34645614101397,-13.320503016782116,4.662368460838167,-330.3227609122355,303.6,303.6,-40.0,573,175,175,CAP30_POSTPV_0029,postpv_keep_not_DF,science_review_large_diffuse_BB86,,,,,,,False,,,,
23,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0030,9.893716604391832,40.40600226080407,-35.67170038185662,-51.76486435175548,-544.7604543589915,319.0,319.0,-90.0,598,181,181,CAP30_POSTPV_0030,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
24,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0031,9.980770826415377,40.454079428822894,-31.745777844058185,-48.880234270626204,-532.3890489678325,366.85,256.795,25.0,624,187,187,CAP30_POSTPV_0031,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
25,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0032,10.833292597240112,41.72493784976035,6.7007714013012185,27.371270985621265,-198.36110340653948,300.0,300.0,-75.0,652,193,193,CAP30_POSTPV_0032,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
26,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0033,10.94661356920225,41.72265467707661,11.811257113425116,27.23428062459689,-132.3802746536915,345.0,345.0,-90.0,689,199,199,CAP30_POSTPV_0033,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
27,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0035,11.228172928095487,42.05240132924401,24.50886335368392,47.019079754640956,-95.2660584802145,303.6,212.51999999999995,35.0,747,211,211,CAP30_POSTPV_0035,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
