new_candidate_id,cluster_id,representative_candidate_id,n_members,RA_deg,Dec_deg,v_center_kms,channel_center,nch,Maj_pc,Min_pc,q_b_over_a,PA_astro_deg,joint_2dcg_score,cg2d_detection_score,cg2d_beam_fraction_deficit,cg2d_growth_score,cg2d_growth_locality_score,seed_lite_2dcg_score,representative_score,link_radius_arcsec,beam_geom_arcsec,member_candidate_ids,RA_mean_deg,Dec_mean_deg,v_mean_kms,v_std_kms,max_sep_to_rep_arcsec,median_sep_to_rep_arcsec,Maj_median_pc,Min_median_pc,q_median_b_over_a,PA_circular_mean_deg,joint_2dcg_score_max,cg2d_detection_score_max,cg2d_beam_fraction_deficit_max,bb86_relation_class,strict_status,loose_status,strict_matched_Seq,loose_matched_Seq,nearest_Seq,matched_Seq,strict_sep_arcsec,loose_sep_arcsec,strict_dv_kms,loose_dv_kms,crossmatch_status,reference_source,v5_keep,v5_reject_reason,v5_channel_start,v5_channel_stop_exclusive,v5_nch_slab,v5_vel_lo_kms,v5_vel_hi_kms,v5_inner_valid_fraction,v5_outer_valid_fraction,v5_bg_valid_fraction,v5_bg_signal_sn,v5_bg_success,v5_bg_n_fit,v5_2dcg_score,v5_2dcg_peak_sn,v5_2dcg_beam_fraction,v5_2dcg_r50_scale,v5_2dcg_r80_scale,v5_2dcg_break_scale,v5_core_median_deficit_sn,v5_nch_2dcg_contiguous,v5_support_channel_start,v5_support_channel_stop_exclusive,v5_support_channel_scores,v9_foreground_confusion_zone,v9_x_pix,v9_y_pix,v9_n_fit_pixels,v9_inner_valid_fraction,v9_outer_valid_fraction,v9_min_mask_distance_beams,v9_bic_bg_only,v9_bic_bg_plus_cavity,v9_delta_bic_cavity,v9_cavity_amp,v9_cavity_amp_err,v9_cavity_amp_sn,v9_chi2_bg_only,v9_chi2_bg_plus_cavity,v9_core_median_deficit_sn,v9_core_positive_fraction,v9_deficit_peak_r_ell,v9_deficit_peak_sn,v9_gradient_to_core_ratio,v9_growth_fraction_inside_ellipse,v9_tail_growth_after_ellipse,v9_pv_major_deficit_sn,v9_pv_minor_deficit_sn,v9_pv_best_deficit_sn,v9_final_score,v9_score,v9_keep,v9_reject_reason,v9_channel_start,v9_channel_stop_exclusive,v9_vel_lo_kms,v9_vel_hi_kms,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg
2,8,27,9.0,10.119621597251442,40.65612128656917,-569.5032651413095,151.5,2.0,220.0,198.0,0.9,-45.0,0.101091713538933,0.6463622657265224,0.6145700759462865,0.5044685271696023,0.5044685271696023,21.18805679786924,9.13972431077694,24.0,24.11049458723757,"24,27,43,99,102,136,202,210,215",10.12126941328798,40.65611395669938,-569.5032651413095,6.147400762630883,14.764839515573524,7.826750770037217,264.0,210.0,0.9,-54.72199193452631,0.1084513593597038,0.6537613006391433,0.6304920884922567,new_non_BB86,not_matched,not_matched,,,6,,192.1975935534262,192.1975935534262,3.2967348586904563,3.2967348586904563,new_candidate,table_fits,True,ok,151,153,2,-571.565166039836,-567.441364242783,1.0,1.0,1.0,103.89823346958384,True,158,0.9032207902798818,356.08893461042334,3.2917943548970787,0.7183098591549295,1.1530985915492955,0.5733802816901408,25.323573084814285,7,148,155,"0.627,0.822,0.886,0.903,0.914,0.867,0.744",False,1873.000000000009,1330.999999999969,679,1.0,1.0,7.699221092906247,179432.61692347864,74711.6725842276,104720.94433925104,37.50597229578817,0.1158964498814348,323.6162309903175,179413.05506009597,74685.59009971737,36.603910032110726,1.0,0.112507296516152,44.94184514645396,0.465490646168564,0.8186463317964331,0.1813536682035668,9.16639981134718,14.770988834892492,14.770988834892492,0.8838567345962123,0.8838567345962123,True,ok,151,153,-571.565166039836,-567.441364242783,0.9,208.71032557111303,34211.94399759285,135.0
4,9,25,1.0,11.02269691385971,41.823713343714594,-152.9992836389565,50.5,2.0,220.0,198.0,0.9,-45.0,0.1075810081930058,0.6579979976406096,0.6397554860040884,0.5055318348488177,0.5055318348488177,14.917275333772489,9.079573934837091,24.0,24.11049458723757,25,11.02269691385971,41.823713343714594,-152.9992836389565,0.0,0.0,0.0,220.0,198.0,0.9,-45.0,0.1075810081930058,0.6579979976406096,0.6397554860040884,new_non_BB86,not_matched,not_matched,,,118,,111.00794910148814,111.00794910148814,25.49928363895652,25.49928363895652,new_candidate,table_fits,True,ok,51,53,2,-159.18498633453598,-155.061184537483,1.0,1.0,1.0,65.99205288638332,True,157,0.8133602593550425,143.0355661670909,2.6594722754253235,0.7804225352112675,1.2980281690140845,0.6147887323943662,10.38837476963892,7,48,55,"0.671,0.717,0.925,0.858,0.750,0.706,0.672",False,1172.9999999999995,2531.000000000001,679,1.0,1.0,4.509470827139845,56528.6625839798,38683.54180729227,17845.12077668753,12.376161543093875,0.092628982262594,133.61003479460325,56509.100720597125,38657.45932278204,15.409234274089702,1.0,0.1125072965148457,19.223657657555783,0.5896961631379469,0.7384857604458868,0.2615142395541133,-4.866412098306606,-6.945717492456608,-4.866412098306606,0.8110531578258251,0.8110531578258251,True,ok,51,53,-159.18498633453598,-155.061184537483,0.9,208.71032557111303,34211.94399759285,135.0
5,7,22,2.0,10.548559287185212,40.84605423401776,-404.5511932591895,111.5,2.0,220.0,198.0,0.9,45.0,0.1179338584942964,0.6600509057615253,0.6569694016257004,0.5215043878216914,0.5215043878216914,13.20436147945011,9.06829573934837,24.0,24.11049458723757,"22,48",10.547916681982956,40.846053468020834,-406.613094157716,2.061900898526517,3.500005715460976,1.7500028577304878,242.0,204.6,0.8500000000000001,47.5,0.1179338584942964,0.6600509057615253,0.6569694016257004,new_non_BB86,not_matched,not_matched,,,33,,110.40328717405252,110.40328717405252,9.051193259189516,9.051193259189516,new_candidate,table_fits,True,ok,111,113,2,-406.613094157716,-402.489292360663,1.0,1.0,1.0,83.78323389168993,True,158,0.9219801309897028,231.53726527693271,2.547886026106778,0.6769014084507041,1.0909859154929578,0.5733802816901408,15.798293186285203,7,108,115,"0.660,0.661,0.683,0.784,0.966,0.983,0.716",False,1537.999999999997,1525.000000000006,679,1.0,1.0,7.904497635720171,67395.69854447363,26964.035991463457,40431.662553010174,19.838893620699583,0.0986555747599807,201.092474185728,67376.13668109095,26937.95350695322,22.66865976422944,1.0,0.1125072965141078,30.130887231572867,0.5680573420763292,0.8483412652823349,0.1516587347176651,3.804318263200836,4.879958689878104,4.879958689878104,0.874072577794209,0.874072577794209,True,ok,111,113,-406.613094157716,-402.489292360663,0.9,208.71032557111303,34211.94399759285,45.0
6,10,26,3.0,11.125138666790564,41.35085662100794,-227.2277159859105,68.5,2.0,220.0,198.0,0.9,-45.0,0.1016495828510845,0.6453499114108159,0.613479178623932,0.5067050810514226,0.5067050810514226,15.867140059715425,9.06516290726817,24.0,24.11049458723757,"26,44,372",11.126437885668514,41.35145352503617,-231.3515177829635,3.367070067717391,7.615905187663544,4.949812129084623,264.0,211.2,0.8,-63.45875558298252,0.1016495828510845,0.6453499114108159,0.613479178623932,new_non_BB86,not_matched,not_matched,,,71,,178.2421520541088,178.2421520541088,19.8722840140895,19.8722840140895,new_candidate,table_fits,True,ok,68,70,2,-229.28961688443692,-225.16581508738403,1.0,1.0,1.0,96.37588675106042,True,158,0.9004151228971244,273.1876581065415,3.1058172726995035,0.7183098591549295,1.1530985915492955,0.5733802816901408,19.27963389244122,7,65,72,"0.782,0.784,0.822,0.900,0.912,0.958,0.858",False,1091.99999999999,2045.000000000001,679,1.0,1.0,5.779317556410294,103743.15811140236,42135.36826834414,61607.78984305824,24.755571421343703,0.0997314559237605,248.22230049732795,103723.59624801968,42109.285783833904,27.7172907479185,1.0,1.140861262358599e-12,36.44511013642423,0.217929551243867,0.8195986507449754,0.1804013492550246,8.504087806783431,10.888736607900436,10.888736607900436,0.93487131335549,0.93487131335549,True,ok,68,70,-229.28961688443695,-225.16581508738403,0.9,208.71032557111303,34211.94399759285,135.0
9,5,8,7.0,11.69978888826684,42.14747123523619,-37.5328333214725,22.5,2.0,220.0,198.0,0.9,45.0,0.2458437401249165,0.7208400698932079,0.804180763699244,0.6512283177026186,0.6512283177026186,4.5350195108055535,9.030701754385964,24.0,24.11049458723757,"8,12,13,61,126,149,450",11.696904182014938,42.1495203645132,-41.6566351185255,4.24816537975004,26.70696155197901,10.261213086342751,300.0,210.0,0.9,68.8616981220427,0.2458437401249165,0.728670328980229,0.804180763699244,new_non_BB86,not_matched,not_matched,,,141,,1070.6550958271996,1070.6550958271996,19.96716667852749,19.96716667852749,new_candidate,table_fits,True,ok,22,24,2,-39.594734219999,-35.47093242294601,0.9735449735449736,0.9905838041431262,1.0,17.120534098622933,True,158,0.9119281936900056,79.36103040338816,1.2646441589435105,0.5526760563380282,0.9046478873239436,0.4491549295774648,3.5374787092037008,5,21,26,"0.000,0.324,0.676,0.876,0.935,0.899,0.821",True,657.9999999999982,2867.999999999989,674,0.9794238683127572,1.0,0.1451650022083154,9259.204723029088,1716.23421363964,7542.970509389448,50.96536765383109,0.5865655255731336,86.88776518877886,9239.665032696352,1690.1812931959907,8.95583337925337,1.0,0.2407790334818806,21.21549744084233,1.6609049786689751,0.8968785382141293,0.1031214617858707,4.4101430445257135,4.528304495625927,4.528304495625927,0.1164331565526431,0.1164331565526431,False,foreground_confusion_velocity;near_mask_edge;background_gradient_dominates;low_v9_final_score,22,24,-39.594734219999,-35.47093242294601,0.9,208.71032557111303,34211.94399759285,45.0
10,12,29,3.0,10.245165659497909,41.05141053697335,-445.7892112297195,121.5,2.0,220.0,198.0,0.9,45.0,0.091452063672221,0.6329039943679622,0.6430650807892605,0.4740240461277445,0.4740240461277445,13.868976219418812,8.996867167919799,24.0,24.11049458723757,"29,39,441",10.24516567211439,41.0514105321906,-445.7892112297195,3.367070067717391,4.949861210599553,4.949860406738522,220.0,198.0,0.9,57.18685021236931,0.091452063672221,0.6329039943679622,0.6430650807892605,new_non_BB86,not_matched,not_matched,,,37,,311.21781461199873,311.21781461199873,21.4892112297195,21.4892112297195,new_candidate,table_fits,True,ok,122,124,2,-451.974913925299,-447.851112128246,1.0,1.0,1.0,78.70696948510857,True,158,0.7212898949774169,193.76767638875003,1.9155639466350232,0.6769014084507041,1.4222535211267604,0.5733802816901408,11.870880849918615,7,119,126,"0.784,0.835,0.853,0.848,0.717,0.683,0.683",False,1773.0000000000014,1736.999999999991,679,1.0,1.0,5.601563633726104,66206.76281971227,42346.79015915986,23859.972660552405,14.900574135418148,0.0964514356359266,154.48784185715036,66187.20095632959,42320.70767464963,19.94687416373234,1.0,0.150526826836311,28.90793451386524,0.6185127608676482,0.7745747782330459,0.2254252217669541,11.813241178988289,1.5841973259989124,11.813241178988289,0.8484915677859036,0.8484915677859036,True,ok,122,124,-451.974913925299,-447.851112128246,0.9,208.71032557111303,34211.94399759285,45.0
11,11,28,2.0,10.99935105499478,41.31821113427335,-264.3419321593875,77.5,2.0,220.0,198.0,0.9,-45.0,0.1008082473399339,0.6476443866121758,0.6264969120291878,0.4984484638108647,0.4984484638108647,11.30819127608578,8.963659147869675,24.0,24.11049458723757,"28,130",10.998705818152295,41.318629555095896,-266.403833057914,2.0619008985264884,4.609787290794699,2.3048936453973496,242.0,217.8,0.9,-62.49999999999999,0.1008082473399339,0.6476443866121758,0.6264969120291878,new_non_BB86,not_matched,not_matched,,,65,,47.59814914443628,47.59814914443628,11.558067840612466,11.558067840612466,new_candidate,table_fits,True,ok,77,79,2,-266.403833057914,-262.28003126086105,1.0,1.0,1.0,102.52805752125934,True,158,0.925517648351378,192.8913137377771,3.2917943548970787,0.7183098591549295,1.1116901408450703,0.5733802816901408,13.072533029011986,7,74,81,"0.827,0.750,0.717,0.781,0.903,0.962,0.913",False,1188.9999999999948,2010.9999999999895,679,1.0,1.0,7.80118396638696,44760.7090927578,19007.59650224346,25753.11259051434,14.459837200542518,0.0900935221968422,160.4980785294387,44741.14722937513,18981.514017733225,18.07849961014623,1.0,0.2407790334803909,24.494347539673715,1.30333030335898,0.8630811326608806,0.1369188673391194,4.785081562416943,5.438129348221585,5.438129348221585,0.8199278816065216,0.8199278816065216,False,background_gradient_dominates,77,79,-266.403833057914,-262.28003126086105,0.9,208.71032557111303,34211.94399759285,135.0
12,16,35,1.0,10.906838736364437,41.79024003242813,-173.6182926242215,55.5,2.0,264.0,237.6,0.9,45.0,0.0798570051468849,0.6422080614394843,0.5730140103437176,0.4658391800819114,0.4658391800819114,11.376050977579617,8.889724310776943,24.0,24.11049458723757,35,10.906838736364437,41.79024003242813,-173.6182926242215,0.0,0.0,0.0,264.0,237.6,0.9,45.0,0.0798570051468849,0.6422080614394843,0.5730140103437176,new_non_BB86,not_matched,not_matched,,,102,,56.64390536453436,56.64390536453436,23.981707375778484,23.981707375778484,new_candidate,table_fits,True,ok,55,57,2,-175.68019352274803,-171.556391725695,1.0,1.0,1.0,70.1190892098671,True,186,0.9753222262957076,202.25437831530908,3.756737060391016,0.6561971830985915,1.0288732394366198,0.8425352112676057,11.111463756403367,7,52,59,"0.750,0.705,0.728,0.837,0.786,0.695,0.694",False,1261.7142857142776,2496.2857142857297,976,1.0,1.0,4.471930354440582,75167.94176095408,38515.94232070456,36651.99944024953,14.394125456081508,0.0751788486422898,191.4650957820666,75147.29137319485,38488.4084703589,17.783277265969303,1.0,0.2150383240515224,24.579694630579105,0.7180846379736793,0.8515350448089583,0.1484649551910417,9.4950203016205,5.576735257176246,9.4950203016205,0.8399859545124342,0.8399859545124342,True,ok,55,57,-175.68019352274803,-171.556391725695,0.9,250.45239068533564,49265.1993565337,45.0
14,15,32,1.0,10.679637565337757,41.01627684238913,-371.5607788827655,103.5,2.0,220.0,198.0,0.9,-45.0,0.0884732391164679,0.6257680316887088,0.6111798883334919,0.4809664134333871,0.4809664134333871,10.494749017140691,8.882832080200501,24.0,24.11049458723757,32,10.679637565337757,41.01627684238913,-371.5607788827655,0.0,0.0,0.0,220.0,198.0,0.9,-45.0,0.0884732391164679,0.6257680316887088,0.6111798883334919,new_non_BB86,not_matched,not_matched,,,43,,206.68738828447985,206.68738828447985,15.739221117234536,15.739221117234536,new_candidate,table_fits,True,ok,103,105,2,-373.622679781292,-369.498877984239,1.0,1.0,1.0,74.01390808580918,True,158,0.8913992626451099,178.7165174947236,2.6594722754253235,0.7183098591549295,1.1530985915492955,0.5733802816901408,12.769312859545924,7,100,107,"0.716,0.750,0.795,0.849,0.791,0.773,0.773",False,1436.0000000000005,1700.0000000000025,679,1.0,1.0,7.089345083344754,44973.07284048256,21945.39533829895,23027.677502183607,14.312678616797578,0.0943049242471737,151.77021487535447,44953.51097709988,21919.312853788717,16.934157446234792,1.0,0.1125072965147623,21.78464378936117,1.268758635290993,0.8090919415452593,0.1909080584547407,2.0800510477973875,2.0255556760528863,2.0800510477973875,0.8043935856393359,0.8043935856393359,False,background_gradient_dominates,103,105,-373.622679781292,-369.498877984239,0.9,208.71032557111303,34211.94399759285,135.0
15,17,37,2.0,10.125270132634984,40.92060844881801,-478.7796256061435,129.5,2.0,264.0,264.0,1.0,45.0,0.0783337940998217,0.6379332530039149,0.5747418671182045,0.4622219265591079,0.4622219265591079,8.247250301754915,8.812030075187971,24.0,24.11049458723757,"37,403",10.122145370799675,40.92059315485268,-480.84152650467,2.0619008985264884,17.000468029965532,8.500234014982766,312.0,303.0,0.975,67.5,0.0783337940998217,0.6379332530039149,0.5747418671182045,new_non_BB86,not_matched,not_matched,,,26,,222.8136976312701,222.8136976312701,73.32037439385653,73.32037439385653,new_candidate,table_fits,True,ok,129,131,2,-480.84152650467,-476.717724707617,1.0,1.0,1.0,26.1343191920106,True,188,0.9336346611807383,127.92975695381364,4.147288933005924,0.6561971830985915,1.1116901408450703,0.6769014084507041,6.524423171680743,7,126,133,"0.682,0.688,0.752,0.815,0.894,0.827,0.882",False,1866.8571428571456,1603.0000000000018,1091,1.0,1.0,3.1704515044625565,74999.08126121318,53212.46710704866,21786.614154164527,13.59121655452604,0.092064829841585,147.6265863730188,74978.09671125568,53184.48770710533,13.030422417833783,1.0,0.2043178437828488,17.11184810943771,0.6230927909623339,0.7521752346434589,0.247824765356541,6.767790490199822,3.035892061566458,6.767790490199822,0.8359843696487339,0.8359843696487339,True,ok,129,131,-480.84152650467,-476.717724707617,1.0,264.0,54739.11039614856,45.0
