sample,column,N,min,p16,median,mean,p84,max
rejected,Maj_pc,175,220.0,264.0,319.0,347.88457142857146,420.0,604.8
rejected,Min_pc,175,184.8,250.8,287.1,319.95245714285716,420.0,604.8
rejected,geom_mean_size_pc,175,208.71032557111303,262.93045931247303,302.6299720781139,333.17871391102454,420.0,604.8
rejected,axis_ratio,175,0.6,0.8,0.95,0.9162857142857144,1.0,1.0
rejected,area_ellipse_pc2,175,34211.94399759285,54301.19751297937,71930.61225493897,91970.47564329309,138544.23602330987,287285.3278179353
rejected,PA_mod_180_deg,175,0.0,45.0,90.0,87.54285714285714,135.0,175.0
rejected,v_center_kms,175,-590.1222741265744,-504.18224467599003,-276.7133375505465,-286.7989785170533,-78.7708512920025,-37.5328333214725
rejected,v9_final_score,175,0.1045892445189516,0.12073268648217318,0.7730398511565525,0.5744858197812138,0.821611735141405,0.8480757230143087
rejected,v9_delta_bic_cavity,175,1378.1322989753971,15550.93469091084,48516.97356720911,63883.3349732847,107930.3450350833,309307.6871821082
rejected,v9_cavity_amp_sn,175,37.22094071561009,124.61013835887353,220.2821788011617,228.15668888081044,328.535111008627,556.1621497424003
rejected,v9_deficit_peak_r_ell,175,1.764220518809484e-13,0.07805389911130203,0.1797364395075932,0.21033819576631677,0.3270453277587529,0.973494288318172
rejected,v9_gradient_to_core_ratio,175,0.0454389871136545,0.9008610040573084,1.2571298401255433,1.5327870559146617,1.9444699340223692,8.479993334611612
rejected,v9_pv_major_deficit_sn,175,-16.42542336915944,0.15755279686490642,4.159480195606541,4.49444087078639,9.722635336410406,19.889818027175387
rejected,v9_pv_minor_deficit_sn,175,-11.335522129738896,-0.07178811276750467,3.722890833602188,4.016927760688581,8.909735663739669,19.41699612867979
