quantity,bb86_n,new_n,bb86_median,new_median,shared_bin_min,shared_bin_max,shared_bin_width,n_bins
Major diameter [pc],141,247,312.5294596342696,359.8529266224248,37.44816901408452,1540.9461971830983,37.587450704225354,40
Minor diameter [pc],141,247,221.5470422535212,301.2614885697992,24.945000000000007,1263.555,30.965250000000005,40
Equivalent diameter [pc],141,247,259.32248291175046,330.3889374613418,41.79222571628915,1302.0418150606472,31.50623973360895,40
Velocity [km/s],141,247,-243.0,-301.4561483328645,-606.6999573507275,-20.955150097319443,14.643620181335223,40
PA [deg],141,247,-29.0,-45.0,-90.0,90.0,5.0,36
Axis ratio b/a,141,247,0.7142857142857144,0.9,0.0,1.1,0.03666666666666667,30
