sample,quantity,N,median,mean,std,min,max
BB86 2DCG/refit,Maj_pc,141,312.5294596342696,379.08233728711355,219.67840414279806,80.0,1498.3943661971828
BB86 2DCG/refit,Min_pc,141,221.5470422535212,278.87799987419373,189.1994907110732,60.00000000000001,1070.281690140845
BB86 2DCG/refit,geom_mean_pc,141,259.32248291175046,321.7775289847436,199.02693555727407,77.45966692414834,1266.374373852788
BB86 2DCG/refit,axis_ratio,141,0.7142857142857144,0.7362998009410068,0.2131507685332406,0.33333333333333337,1.0
BB86 2DCG/refit,PA_mod_180_deg,0,,,,,
BB86 2DCG/refit,v_center_kms,141,-243.0,-283.2700426094106,139.90104679413656,-576.9,-49.9042387126315
New candidates 2DCG,Maj_pc,247,359.8529266224248,373.7006936843633,120.20627935784147,176.6394509046718,1228.5
New candidates 2DCG,Min_pc,247,301.2614885697992,331.10184761776077,125.60861872246852,120.029198149909,1228.5
New candidates 2DCG,geom_mean_pc,247,330.3889374613418,350.69767980344903,120.32148147842824,163.41036503853962,1228.5
New candidates 2DCG,axis_ratio,247,0.9,0.8827935222672065,0.12512585158338474,0.5,1.0
New candidates 2DCG,PA_mod_180_deg,247,90.0,87.02429149797571,39.89042959766012,0.0,175.0
New candidates 2DCG,v_center_kms,247,-301.4561483328645,-305.3796034839068,171.25594373335315,-590.1222741265744,-37.5328333214725
